name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
Japan,2016-07-01,JPY,370.0,106.725,3.46685406418365,-0.31213,-0.17566,-0.12014,0.0,0.24471,32485.545,3.87320055235886,-0.148,-0.162,-0.018,0.0,-0.068
South Korea,2016-07-01,KRW,4400.0,1140.95,3.85643542661817,-0.23483,-0.08303,-0.02126,0.11237,0.38458,27195.197,3.66317681005286,0.002,-0.014,0.155,0.176,0.096
Sri Lanka,2016-07-01,LKR,530.0,146.2,3.62517099863201,-0.28072,-0.13802,-0.07996,0.04567,0.30155,,,,,,,
Mexico,2016-07-01,MXN,44.0,18.535,2.37388724035608,-0.52899,-0.43555,-0.39752,-0.31526,-0.1477,9009.28,2.94120646980185,-0.231,-0.244,-0.115,-0.098,-0.159
Malaysia,2016-07-01,MYR,8.0,4.027,1.9865905140303,-0.60584,-0.52764,-0.49582,-0.42698,-0.28675,9556.774,2.96294166354904,-0.362,-0.372,-0.265,-0.251,-0.302
Norway,2016-07-01,NOK,46.8,8.49355,5.51006351878779,0.09327,0.31016,0.39841,0.58936,0.97829,74822.106,5.55393742970343,-0.055,-0.071,0.088,0.108,0.033
New Zealand,2016-07-01,NZD,6.0,1.421363087,4.22130000059584,-0.16244,0.00373,0.07134,0.21762,0.51558,37044.891,4.05420393992199,-0.009,-0.025,0.142,0.163,0.084
Pakistan,2016-07-01,PKR,375.0,104.82,3.57756153405839,-0.29017,-0.14934,-0.09204,0.03193,0.28446,1449.978,2.64110657178735,0.29,0.269,0.486,0.513,0.411
Peru,2016-07-01,PEN,10.0,3.30585,3.02494063554003,-0.39981,-0.28074,-0.23229,-0.12747,0.08605,6021.104,2.8225776185072,0.02,0.004,0.175,0.197,0.116
Philippines,2016-07-01,PHP,133.0,47.115,2.82288018677704,-0.4399,-0.32879,-0.28357,-0.18575,0.01351,2858.144,2.69700994394889,-0.003,-0.02,0.148,0.169,0.09
Poland,2016-07-01,PLN,9.6,3.96565,2.42078852142776,-0.51968,-0.42439,-0.38562,-0.30173,-0.13086,12495.334,3.07960078846686,-0.252,-0.264,-0.138,-0.122,-0.181
Russia,2016-07-01,RUB,130.0,63.40755,2.05022903423961,-0.59321,-0.5125,-0.47967,-0.40862,-0.2639,9054.914,2.94301811309193,-0.337,-0.348,-0.236,-0.222,-0.274
Saudi Arabia,2016-07-01,SAR,12.0,3.7505,3.19957339021464,-0.36516,-0.23922,-0.18797,-0.0771,0.14875,20812.586,3.40979086116945,-0.107,-0.121,0.029,0.048,-0.023
Sweden,2016-07-01,SEK,44.94,8.59485,5.22871254297632,0.03744,0.24327,0.32701,0.5082,0.87728,49866.266,4.56320507916814,0.091,0.073,0.257,0.28,0.193
Thailand,2016-07-01,THB,119.0,34.965,3.4034034034034,-0.32472,-0.19075,-0.13624,-0.0183,0.22193,5742.282,2.81150854708179,0.153,0.134,0.328,0.352,0.261
Turkey,2016-07-01,TRY,10.75,3.04305,3.53263995005011,-0.29908,-0.16002,-0.10344,0.01898,0.26833,9437.372,2.95820147351262,0.137,0.118,0.31,0.334,0.244
Taiwan,2016-07-01,TWD,69.0,32.029,2.15429766773861,-0.57256,-0.48776,-0.45325,-0.3786,-0.22654,22287.562,3.46834655151941,-0.409,-0.418,-0.319,-0.306,-0.353
Ukraine,2016-07-01,UAH,39.0,24.8,1.57258064516129,-0.68798,-0.62608,-0.60089,-0.5464,-0.43539,,,,,,,
Uruguay,2016-07-01,UYU,123.0,30.165,4.07757334659373,-0.19096,-0.03045,0.03486,0.17616,0.46398,,,,,,,
United States of America,2016-07-01,USD,5.04,1.0,5.04,0.0,0.19839,0.27912,0.45377,0.80952,55805.204,4.79897746769216,0.0,-0.016,0.152,0.173,0.094
Vietnam,2016-07-01,VND,60000.0,22300.0,2.69058295964126,-0.46615,-0.36024,-0.31715,-0.22391,-0.03399,,,,,,,
South Africa,2016-07-01,ZAR,30.0,14.27375,2.10176022418776,-0.58298,-0.50025,-0.46659,-0.39376,-0.2454,5694.572,2.80961448779771,-0.288,-0.299,-0.18,-0.164,-0.221
Andorra,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Spain,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Guadeloupe,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Ireland,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Italy,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Austria,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Greece,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Croatia,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Cyprus,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Latvia,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Lithuania,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Luxembourg,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Malta,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Martinique,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Mayotte,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Monaco,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
France,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
French Guiana,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Saint Pierre and Miquelon,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Germany,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
San Marino,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Slovakia,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Finland,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Vatican City,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
Estonia,2016-01-01,EUR,3.72,0.930232558,3.99900000059985,-0.18884,0.0,-0.05279,0.28233,0.49013,40001.31716,3.74022744925321,-0.075,0.0,0.0,0.235,0.018
